FASE,PASO,DESCRIPCIÓN,TIEMPO EST.,HECHO,NOTAS
FASE 1 - CUENTAS,1.1,Crear cuenta GitHub del cliente (o usar la suya),5 min,,
FASE 1 - CUENTAS,1.2,Hacer fork del repo soma-os en su GitHub,2 min,,
FASE 1 - CUENTAS,1.3,Crear cuenta Supabase del cliente,5 min,,
FASE 1 - CUENTAS,1.4,Crear proyecto nuevo en Supabase,3 min,,
FASE 1 - CUENTAS,1.5,Copiar URL + Anon Key + Service Role Key de Supabase,2 min,,
FASE 1 - CUENTAS,1.6,Crear cuenta Vercel del cliente,5 min,,
FASE 1 - CUENTAS,1.7,Importar repo GitHub en Vercel,3 min,,
FASE 1 - CUENTAS,1.8,Crear cuenta Resend del cliente,5 min,,
FASE 1 - CUENTAS,1.9,Verificar dominio de email en Resend,5 min,,
FASE 1 - CUENTAS,1.10,Copiar API Key de Resend,1 min,,
FASE 1 - CUENTAS,1.11,(Opcional) Obtener credenciales WebPay de Transbank,10 min,,
FASE 2 - VARIABLES,2.1,Ir a Vercel → Settings → Environment Variables,2 min,,
FASE 2 - VARIABLES,2.2,Agregar VITE_SUPABASE_URL,1 min,,
FASE 2 - VARIABLES,2.3,Agregar VITE_SUPABASE_ANON_KEY,1 min,,
FASE 2 - VARIABLES,2.4,Agregar SUPABASE_SERVICE_ROLE_KEY,1 min,,
FASE 2 - VARIABLES,2.5,Agregar RESEND_API_KEY,1 min,,
FASE 2 - VARIABLES,2.6,(Opcional) Agregar WEBPAY_COMMERCE_CODE,1 min,,
FASE 2 - VARIABLES,2.7,(Opcional) Agregar WEBPAY_API_KEY,1 min,,
FASE 2 - VARIABLES,2.8,Hacer redeploy en Vercel para aplicar variables,3 min,,
FASE 3 - BASE DE DATOS,3.1,Ir a Supabase → SQL Editor,1 min,,
FASE 3 - BASE DE DATOS,3.2,Correr script SQL de tablas (perfiles + clientes + reservas + pagos + servicios),5 min,,
FASE 3 - BASE DE DATOS,3.3,Verificar que todas las tablas se crearon correctamente,3 min,,
FASE 3 - BASE DE DATOS,3.4,Activar RLS en todas las tablas,5 min,,
FASE 3 - BASE DE DATOS,3.5,Crear usuario admin del cliente en Supabase → Authentication → Users,3 min,,
FASE 3 - BASE DE DATOS,3.6,Crear perfil del cliente en tabla perfiles con role = admin,3 min,,
FASE 4 - PERSONALIZACIÓN,4.1,Cambiar logo en /public/ por el del cliente,5 min,,
FASE 4 - PERSONALIZACIÓN,4.2,Actualizar nombre del negocio en index.html (title + og:title),3 min,,
FASE 4 - PERSONALIZACIÓN,4.3,Actualizar descripción en index.html (og:description),2 min,,
FASE 4 - PERSONALIZACIÓN,4.4,(Opcional) Cambiar colores en index.css si el cliente quiere personalizar,15 min,,
FASE 4 - PERSONALIZACIÓN,4.5,Hacer commit y push al repo del cliente,2 min,,
FASE 4 - PERSONALIZACIÓN,4.6,Verificar que Vercel desplegó correctamente,3 min,,
FASE 5 - DOMINIO,5.1,(Opcional) Comprar dominio del cliente en GoDaddy u otro,10 min,,
FASE 5 - DOMINIO,5.2,(Opcional) Agregar dominio en Vercel → Settings → Domains,3 min,,
FASE 5 - DOMINIO,5.3,(Opcional) Configurar DNS en GoDaddy → A record @ → 76.76.21.21,5 min,,
FASE 5 - DOMINIO,5.4,(Opcional) Verificar que el dominio carga correctamente,5 min,,
FASE 6 - PRUEBAS,6.1,Hacer login con usuario admin del cliente,2 min,,
FASE 6 - PRUEBAS,6.2,Crear un servicio de prueba,2 min,,
FASE 6 - PRUEBAS,6.3,Crear una reserva de prueba,2 min,,
FASE 6 - PRUEBAS,6.4,Verificar que llega email de confirmación,3 min,,
FASE 6 - PRUEBAS,6.5,Probar recuperación de contraseña,3 min,,
FASE 6 - PRUEBAS,6.6,Revisar en móvil que todo se ve bien,5 min,,
FASE 7 - ENTREGA,7.1,Preparar documento con credenciales del cliente (emails + contraseñas de cada servicio),10 min,,
FASE 7 - ENTREGA,7.2,Grabar video corto de cómo usar el sistema (Loom o similar),20 min,,
FASE 7 - ENTREGA,7.3,Enviar credenciales + video al cliente,5 min,,
FASE 7 - ENTREGA,7.4,Agendar llamada de 30 min para resolver dudas iniciales,5 min,,
FASE 7 - ENTREGA,7.5,Cobrar el saldo pendiente si corresponde,,,
